Time, Values
2022-10-15 09:22, [5.519006991948531 0.05464363358364883]
2022-10-15 09:26, [5.851998168409909 0.049176455196721924]
2022-10-15 09:27, [5.556550458772017 0.04517520698188632]
2022-10-15 09:28, [5.545480543591972 0.04699559782705061]
2022-10-15 09:29, [5.893809884747537 0.04952781415754232]
2022-10-15 09:30, [5.9513370354233635 0.049594475295194694]
2022-10-15 09:31, [5.892124368103338 0.05079417558709774]
2022-10-15 09:32, [5.850267034551754 0.050871887256971775]
2022-10-15 09:33, [5.789645340096524 0.051235799469880744]
2022-10-15 09:34, [5.728235376923445 0.05069234846834907]
2022-10-15 09:35, [5.851563629121302 0.049589522280689004]
2022-10-15 09:36, [5.849837156514594 0.051314361022057844]
2022-10-15 09:37, [5.806663335689009 0.05093564329551763]
2022-10-15 09:38, [5.852433888848965 0.048770282407074705]
2022-10-15 09:39, [5.819576418242412 0.04809567287803646]
2022-10-15 09:40, [5.745538594379598 0.05223216903981453]
2022-10-15 09:41, [5.426365490432446 0.05268316010128589]
2022-10-15 09:42, [5.519388998005043 0.05110545368523188]
2022-10-15 09:43, [5.434416880469751 0.052254008466055296]
2022-10-15 09:44, [5.696399976875635 0.053237382961454534]
2022-10-15 09:45, [5.544787747385681 0.0482155456294407]
2022-10-15 09:46, [5.550760455274208 0.04549803651864105]
2022-10-15 09:47, [5.82064633093597 0.04694069621722557]
2022-10-15 09:48, [5.4551234752833 0.04702692651106293]
2022-10-15 09:49, [5.445786693383635 0.05089520274190313]
2022-10-15 09:50, [5.437973972486193 0.05082218665874947]
2022-10-15 09:51, [5.461397916053254 0.04749041666133265]
2022-10-15 09:52, [5.893246074363739 0.049942763342065585]
2022-10-15 09:53, [5.851563629121302 0.049589522280689004]
2022-10-15 09:54, [5.4382203447300475 0.0477036872344741]
2022-10-15 09:55, [5.448979724772888 0.047798067761165686]
2022-10-15 09:56, [5.81922136172451 0.04849351134770425]
2022-10-15 09:57, [5.7669732714277835 0.05014759366458942]
2022-10-15 09:58, [5.443096720880856 0.04816899752991908]
2022-10-15 09:59, [5.451735304015934 0.05095079723379378]
2022-10-15 10:00, [5.523965704666518 0.0521128840062879]
2022-10-15 10:01, [5.5241344528672025 0.05068013259511195]
2022-10-15 10:02, [5.544404099064546 0.050866092651968314]
2022-10-15 10:03, [5.816408870834698 0.05193222206102409]
2022-10-15 10:04, [5.555931624774534 0.048736242322583626]
2022-10-15 10:06, [5.381022003424098 0.05605231253566769]
2022-10-15 10:07, [5.387194781611749 0.05130661696773094]
2022-10-15 10:08, [5.4321324788905905 0.05076759326065972]
2022-10-15 10:09, [5.437389239889574 0.04898548864765381]
2022-10-15 10:10, [5.4549771770992574 0.04870515336695765]
2022-10-15 10:11, [5.555931624774534 0.048736242322583626]
2022-10-15 10:12, [5.884149151304361 0.049034576260869676]
2022-10-15 10:13, [5.556412733501461 0.04592076639257406]
2022-10-15 10:14, [5.5448517781364695 0.04780044636324542]
2022-10-15 10:15, [5.451842817901544 0.04956220743546858]
2022-10-15 10:17, [5.550494882393682 0.04703809222367527]
2022-10-15 10:18, [5.556412733501461 0.04592076639257406]
2022-10-15 10:19, [5.818513599320268 0.049309437282375156]
2022-10-15 10:20, [5.895513312763392 0.04832387961281469]
2022-10-15 10:21, [5.809494457351176 0.04761880702746866]
2022-10-15 10:22, [5.446166873032348 0.04615395655112159]
2022-10-15 10:23, [5.448979724772888 0.047798067761165686]
2022-10-15 10:24, [5.452022168111338 0.04740888841835946]
2022-10-15 10:27, [5.555451955685478 0.0519201117353783]
2022-10-15 10:28, [5.5290246876080955 0.05026386079643723]
2022-10-15 10:29, [5.510248201978575 0.052478554304557855]
2022-10-15 10:30, [5.420893607388877 0.053146015758714485]
2022-10-15 10:31, [5.451699482072599 0.05143112718936414]
2022-10-15 10:32, [5.5191160436748685 0.05358365090946474]
2022-10-15 10:37, [5.556412733501461 0.04592076639257406]
2022-10-15 10:38, [5.898975454513825 0.04608574573838926]
2022-10-15 10:39, [5.8091378205757085 0.0480094034758323]
2022-10-15 10:40, [5.818160886535143 0.049727870825086694]
2022-10-15 10:41, [5.81922136172451 0.04849351134770425]
2022-10-15 10:42, [5.7457627211188145 0.051763628118187514]
2022-10-15 10:43, [5.503932325735311 0.05241840310224106]
2022-10-15 10:44, [5.544531879843819 0.049950737656250625]
2022-10-15 10:45, [5.817457780722052 0.050586589397583065]
2022-10-15 10:46, [5.451914533907452 0.048677808338459395]
2022-10-15 10:47, [5.790236244721573 0.050349880388883245]
2022-10-15 10:48, [5.789056605698967 0.052153663114405106]
2022-10-15 10:49, [5.745091278821546 0.053195289618718014]
2022-10-15 10:50, [5.766462060966129 0.051030637707664854]
2022-10-15 10:51, [5.766462060966129 0.051030637707664854]
2022-10-15 10:52, [5.513171115663083 0.05250639157774365]
2022-10-15 10:53, [5.539153175820635 0.05035593796200578]
2022-10-15 10:54, [5.451663668132566 0.051920606363167296]
2022-10-15 10:55, [5.5147799962703 0.05153999996514299]
2022-10-15 10:58, [5.4369966134150065 0.05491915771126269]
2022-10-15 10:59, [5.379129969222152 0.05488908131859339]
2022-10-15 11:00, [5.4398845049871785 0.05333220102928606]
2022-10-15 11:03, [5.28165199618603 0.05559633680195821]
2022-10-15 11:04, [5.436931269063492 0.056050837825396826]
2022-10-15 11:05, [5.331969238274218 0.05440784937014508]
2022-10-15 11:06, [5.431624992124285 0.05377846526855728]
2022-10-15 11:09, [5.512834151197566 0.055685193446440066]
2022-10-15 11:10, [5.7093694199032985 0.05825887163166631]
2022-10-15 11:12, [5.4456486694873565 0.05287037543191608]
2022-10-15 11:13, [5.431895281155346 0.05431895281155346]
2022-10-15 11:14, [5.426152445200447 0.057725026012770714]
2022-10-15 11:21, [5.33203777389296 0.066650472173662]
2022-10-15 11:22, [5.360526721872438 0.06381579430800521]
2022-10-15 11:24, [5.709727279538504 0.05709727279538504]
2022-10-15 11:25, [5.726038908894961 0.0561376363617153]
2022-10-15 11:26, [5.522616928293474 0.05578400937670176]
2022-10-15 11:27, [5.538844439307317 0.052750899421974445]
2022-10-15 11:28, [5.448487466418291 0.054484874664182906]
2022-10-15 11:34, [5.434224053667706 0.0554512658537521]
2022-10-15 11:35, [5.3682670484195985 0.05710922391935743]
2022-10-15 11:36, [5.437290993077351 0.050345286972938434]
2022-10-15 11:37, [5.449085405664076 0.04657337953559039]
2022-10-15 11:38, [5.449120648116239 0.04617898854335795]
2022-10-15 11:39, [5.539276837113894 0.04945782890280263]
2022-10-15 11:40, [5.518843553335283 0.05631473013607431]
2022-10-15 11:43, [5.385276248906 0.04940620411840367]
2022-10-15 11:44, [5.444255710896073 0.04817925407872631]
