Time, Deviation score, Value, Mean, Variance
2022-10-13 10:22:28.597000+00:00,10.266173539439842,1014839724.0,537752829.3672167,46471734.84842677
2022-10-13 10:22:34.643000+00:00,10.446608916499665,1023224869.0,537752829.3672167,46471734.84842677
2022-10-13 10:22:36.657000+00:00,10.211725711996928,1012309439.0,537752829.3672167,46471734.84842677
2022-10-13 10:23:33.087000+00:00,12.553754993920752,1203161687.0,537226770.4782279,53046671.44167271
2022-10-13 10:23:35.096000+00:00,12.503064122525425,1200472705.0,537226770.4782279,53046671.44167271
2022-10-13 10:23:37.107000+00:00,12.999591091780434,1226811808.0,537226770.4782279,53046671.44167271
2022-10-13 10:23:39.117000+00:00,11.51876198667112,1148258753.0,537226770.4782279,53046671.44167271
2022-10-13 10:23:41.130000+00:00,10.063501064505976,1071062005.0,537226770.4782279,53046671.44167271
2022-10-13 10:23:45.153000+00:00,11.128952570961852,1127580661.0,537226770.4782279,53046671.44167271
2022-10-13 10:23:49.182000+00:00,10.735511409946719,1106709917.0,537226770.4782279,53046671.44167271
2022-10-13 10:24:37.517000+00:00,10.149042035254938,1138840059.0,536715550.57808626,59328211.10901909
2022-10-13 10:27:34.786000+00:00,11.007183666062973,1068527426.0,535624691.9928643,48414085.7620252
2022-10-13 10:29:31.718000+00:00,10.599922433679374,1067243282.0,535476104.1594847,50167081.992120944
2022-10-13 10:29:33.731000+00:00,13.30395640602214,1202896776.0,535476104.1594847,50167081.992120944
2022-10-13 10:29:35.744000+00:00,13.10225864728885,1192778188.0,535476104.1594847,50167081.992120944
2022-10-13 10:29:37.754000+00:00,13.28239605295696,1201815156.0,535476104.1594847,50167081.992120944
2022-10-13 10:29:39.767000+00:00,12.493651971604677,1162246167.0,535476104.1594847,50167081.992120944
2022-10-13 10:29:41.812000+00:00,12.624424277656491,1168806632.0,535476104.1594847,50167081.992120944
2022-10-13 10:29:43.824000+00:00,12.855666987802996,1180407404.0,535476104.1594847,50167081.992120944
2022-10-13 10:29:45.837000+00:00,10.512759381208298,1062870566.0,535476104.1594847,50167081.992120944
2022-10-13 10:30:40.256000+00:00,10.068541929661981,1154479775.0,535590907.66388714,61467576.10581754
2022-10-13 10:32:41.159000+00:00,10.543148945910968,1090904380.0,536138424.5792591,52618620.704955526
2022-10-13 10:49:36.537000+00:00,10.788955585551152,1175809220.0,534983973.98400605,59396411.53720233
2022-10-13 10:49:38.550000+00:00,11.015498278144156,1189265043.0,534983973.98400605,59396411.53720233
2022-10-13 10:49:42.569000+00:00,11.241375341299678,1202681330.0,534983973.98400605,59396411.53720233
2022-10-13 10:49:46.595000+00:00,10.290868761207058,1146224650.0,534983973.98400605,59396411.53720233
2022-10-13 10:51:37.420000+00:00,10.997149565911378,1117391630.0,534706925.7879594,52985066.78659973
2022-10-13 10:51:39.465000+00:00,10.26502739729668,1078600088.0,534706925.7879594,52985066.78659973
2022-10-13 10:52:35.931000+00:00,11.510927162433422,1139111807.0,534914185.0397091,52489049.18207847
2022-10-13 10:52:37.945000+00:00,12.407695073711789,1186182302.0,534914185.0397091,52489049.18207847
2022-10-13 10:52:39.956000+00:00,12.506115736316664,1191348309.0,534914185.0397091,52489049.18207847
2022-10-13 10:52:41.966000+00:00,10.688078536424271,1095921265.0,534914185.0397091,52489049.18207847
2022-10-13 10:52:43.975000+00:00,10.183428968318852,1069432689.0,534914185.0397091,52489049.18207847
2022-10-13 10:53:30.349000+00:00,11.337931352646686,995325573.0,535406606.1379041,40564627.934066124
2022-10-13 10:53:32.360000+00:00,12.723556782056754,1051532953.0,535406606.1379041,40564627.934066124
2022-10-13 10:53:34.371000+00:00,14.400190599838762,1119544980.0,535406606.1379041,40564627.934066124
