Time,Value
2023-02-21T13:00:00Z,78562284.078181
2023-02-21T13:30:00Z,77109115.53982478
2023-02-21T14:00:00Z,72289076.10609226
2023-02-21T14:30:00Z,68551334.08740476
2023-02-21T15:00:00Z,58827959.32698626
2023-02-21T15:30:00Z,52614056.40231945
2023-02-21T16:00:00Z,49170793.78422781
2023-02-21T16:30:00Z,48980713.197834745
2023-02-21T17:00:00Z,42145293.08679311
2023-02-21T17:30:00Z,45371334.81090637
2023-02-21T18:00:00Z,43115920.40807131
2023-02-21T18:30:00Z,43405469.18347436
2023-02-21T19:00:00Z,38288133.72151425
2023-02-21T19:30:00Z,43024323.93854539
2023-02-21T20:00:00Z,40718232.672443844
2023-02-21T20:30:00Z,42364852.81650485
2023-02-21T21:00:00Z,41304381.951925956
2023-02-21T21:30:00Z,40527740.537037045
2023-02-21T22:00:00Z,40178633.59768483
2023-02-21T22:30:00Z,37200988.48757965
2023-02-21T23:00:00Z,32681894.6581437
2023-02-21T23:30:00Z,32195255.28605925
2023-02-22T00:00:00Z,27594458.94621167
2023-02-22T00:30:00Z,25280146.644321688
2023-02-22T01:00:00Z,23160455.883487653
2023-02-22T01:30:00Z,24405368.785261117
2023-02-22T02:00:00Z,24672274.810471818
2023-02-22T02:30:00Z,24532329.678539425
2023-02-22T03:00:00Z,21224171.27559526
2023-02-22T03:30:00Z,21300310.177195348
2023-02-22T04:00:00Z,19770231.601597484
2023-02-22T04:30:00Z,23041035.248824187
2023-02-22T05:00:00Z,19520481.32264085
2023-02-22T05:30:00Z,22043835.083648585
2023-02-22T06:00:00Z,25875417.811783142
2023-02-22T06:30:00Z,22042914.69369773
2023-02-22T07:00:00Z,26733391.84157874
2023-02-22T07:30:00Z,40040602.4776409
2023-02-22T08:00:00Z,49779109.201702
2023-02-22T08:30:00Z,62933172.714413695
2023-02-22T09:00:00Z,69227150.45709023
2023-02-22T09:30:00Z,79549699.38144538
2023-02-22T10:00:00Z,76942359.62295896
2023-02-22T10:30:00Z,73448623.4348497
2023-02-22T11:00:00Z,71108376.58897598
2023-02-22T11:30:00Z,74116378.89022993
2023-02-22T12:00:00Z,76834475.64382917
2023-02-22T12:30:00Z,80335826.0614546
2023-02-22T13:00:00Z,73959425.50328486
2023-02-22T13:30:00Z,76979504.99738735
2023-02-22T14:00:00Z,69460603.01124823
2023-02-22T14:30:00Z,64334354.56635802
2023-02-22T15:00:00Z,60261295.71879354
2023-02-22T15:30:00Z,54104917.853906035
2023-02-22T16:00:00Z,50325827.846510015
2023-02-22T16:30:00Z,47764791.13104719
2023-02-22T17:00:00Z,43067612.20637054
2023-02-22T17:30:00Z,49655475.3426737
2023-02-22T18:00:00Z,55736898.09031857
2023-02-22T18:30:00Z,54017783.026129805
2023-02-22T19:00:00Z,45891171.881249234
2023-02-22T19:30:00Z,51430495.61784105
2023-02-22T20:00:00Z,57062159.265905015
2023-02-22T20:30:00Z,55857296.90591485
2023-02-22T21:00:00Z,70011209.15754107
2023-02-22T21:30:00Z,59502482.83575553
2023-02-22T22:00:00Z,55701124.539809786
2023-02-22T22:30:00Z,33960334.37267637
2023-02-22T23:00:00Z,39772171.43893092
2023-02-22T23:30:00Z,39787120.502153404
