Time,egress_stats__if_1sec_pkts
2022-10-04T03:30:00Z,2442522579
2022-10-04T04:00:00Z,2157419334
2022-10-04T04:30:00Z,3038713535
2022-10-04T05:00:00Z,3310093965
2022-10-04T05:30:00Z,2730248298
2022-10-04T06:00:00Z,2938420992
2022-10-04T06:30:00Z,3962308590
2022-10-04T07:00:00Z,5162923618
2022-10-04T07:30:00Z,5966192368
2022-10-04T08:00:00Z,6397419990
2022-10-04T08:30:00Z,7114303319
2022-10-04T09:00:00Z,7436121178
2022-10-04T09:30:00Z,7200685823
2022-10-04T10:00:00Z,6576024405
2022-10-04T10:30:00Z,7118214102
2022-10-04T11:00:00Z,7986350278
2022-10-04T11:30:00Z,8960876642
2022-10-04T12:00:00Z,9101265662
2022-10-04T12:30:00Z,7383072438
2022-10-04T13:00:00Z,6936975086
2022-10-04T13:30:00Z,6599006889
2022-10-04T14:00:00Z,6438895129
2022-10-04T14:30:00Z,5597619753
2022-10-04T15:00:00Z,5312206511
2022-10-04T15:30:00Z,5326215371
2022-10-04T16:00:00Z,5162416874
2022-10-04T16:30:00Z,4944730354
2022-10-04T17:00:00Z,4562196080
2022-10-04T17:30:00Z,4314853200
2022-10-04T18:00:00Z,4442339685
2022-10-04T18:30:00Z,4949643769
2022-10-04T19:00:00Z,4922320817
2022-10-04T19:30:00Z,5240690570
2022-10-04T20:00:00Z,4721289961
2022-10-04T20:30:00Z,4213717743
2022-10-04T21:00:00Z,4263887746
2022-10-04T21:30:00Z,3848799334
2022-10-04T22:00:00Z,3698475006
2022-10-04T22:30:00Z,3160050291
2022-10-04T23:00:00Z,3385218497
2022-10-04T23:30:00Z,3148025646
2022-10-05T00:00:00Z,2800669165
2022-10-05T00:30:00Z,2471066110
2022-10-05T01:00:00Z,2190537791
2022-10-05T01:30:00Z,2204483806
2022-10-05T02:00:00Z,2117808800
2022-10-05T02:30:00Z,2041556386
2022-10-05T03:00:00Z,2007900650
2022-10-05T03:30:00Z,2084665271
2022-10-05T04:00:00Z,1949858647
2022-10-05T04:30:00Z,2861767765
2022-10-05T05:00:00Z,2792593094
2022-10-05T05:30:00Z,3745980978
2022-10-05T06:00:00Z,3983577813
2022-10-05T06:30:00Z,4511019152
2022-10-05T07:00:00Z,6041387914
2022-10-05T07:30:00Z,6864994230
2022-10-05T08:00:00Z,7161850630
2022-10-05T08:30:00Z,8574987804
2022-10-05T09:00:00Z,8066220123
2022-10-05T09:30:00Z,7451196908
