Time, Change, Value, Mean of the last 10 minutes
2011-01-08 23:05:00,102.33333333333331,489,386.6666666666667
2011-01-09 02:36:00,228.8888888888889,712,483.1111111111111
2011-01-09 03:13:00,100.44444444444446,394,494.44444444444446
2011-01-09 03:48:00,117.66666666666669,610,492.3333333333333
2011-01-09 05:50:00,171.66666666666669,651,479.3333333333333
2011-01-09 11:06:00,102.66666666666663,634,531.3333333333334
2011-01-09 14:41:00,150.1111111111111,706,555.8888888888889
2011-01-09 14:55:00,108.88888888888891,662,553.1111111111111
2011-01-09 16:18:00,117.11111111111109,438,555.1111111111111
2011-01-09 16:44:00,236.55555555555554,781,544.4444444444445
2011-01-09 17:39:00,293.33333333333337,821,527.6666666666666
2011-01-09 17:40:00,286.1111111111111,817,530.8888888888889
2011-01-09 17:41:00,242.8888888888889,811,568.1111111111111
2011-01-09 17:42:00,213.77777777777783,814,600.2222222222222
2011-01-09 17:43:00,176.66666666666663,809,632.3333333333334
2011-01-09 17:44:00,188.44444444444446,855,666.5555555555555
2011-01-09 17:46:00,188.33333333333337,541,729.3333333333334
2011-01-09 17:47:00,210.77777777777783,522,732.7777777777778
2011-01-09 17:48:00,144.8888888888889,591,735.8888888888889
2011-01-09 17:49:00,175.8888888888889,556,731.8888888888889
2011-01-09 17:51:00,124.33333333333337,553,677.3333333333334
2011-01-09 20:23:00,107.66666666666663,647,539.3333333333334
2011-01-09 20:53:00,367.33333333333337,904,536.6666666666666
2011-01-09 20:54:00,172.33333333333337,724,551.6666666666666
2011-01-09 20:55:00,278.8888888888889,865,586.1111111111111
2011-01-09 20:56:00,179.22222222222217,783,603.7777777777778
2011-01-09 21:00:00,163.22222222222217,868,704.7777777777778
2011-01-09 21:01:00,177.33333333333337,910,732.6666666666666
2011-01-09 21:02:00,198.77777777777783,573,771.7777777777778
2011-01-09 21:03:00,248.55555555555554,554,802.5555555555555
2011-01-09 21:04:00,220.77777777777783,545,765.7777777777778
2011-01-09 21:05:00,279.8888888888889,467,746.8888888888889
2011-01-09 21:06:00,211.33333333333337,500,711.3333333333334
2011-01-09 21:07:00,122.22222222222217,554,676.2222222222222
2011-01-09 21:08:00,125.33333333333337,531,656.3333333333334
2011-01-09 21:19:00,101.22222222222217,431,532.2222222222222
2011-01-09 21:22:00,121.0,376,497.0
2011-01-09 21:23:00,107.77777777777777,379,486.77777777777777
2011-01-09 21:42:00,175.0,568,393.0
2011-01-09 21:43:00,165.77777777777777,559,393.22222222222223
2011-01-09 21:44:00,111.88888888888891,525,413.1111111111111
2011-01-09 21:47:00,120.11111111111109,587,466.8888888888889
2011-01-09 22:59:00,243.8888888888889,272,515.8888888888889
2011-01-09 23:00:00,318.1111111111111,193,511.1111111111111
2011-01-09 23:01:00,252.22222222222223,236,488.22222222222223
2011-01-09 23:02:00,230.1111111111111,224,454.1111111111111
2011-01-09 23:03:00,209.55555555555554,212,421.55555555555554
2011-01-09 23:04:00,219.22222222222223,172,391.22222222222223
2011-01-09 23:05:00,120.88888888888891,236,356.8888888888889
2011-01-09 23:06:00,143.22222222222223,172,315.22222222222223
